 ,Area,Mean,Min,Max,XM,YM,Perim.,BX,BY,Width,Height
7592,0.457,255,255,255,44.652,12.179,2.443,44.245,11.816,0.788,0.722
7593,0.582,255,255,255,30.011,12.322,2.830,29.540,11.882,0.919,0.919
7594,1.138,255,255,255,47.210,12.590,4.739,46.543,11.882,1.379,1.444
7595,0.457,255,255,255,28.732,12.599,2.459,28.359,12.210,0.788,0.788
7596,0.004,255,255,255,12.637,12.440,0.186,12.604,12.407,0.066,0.066
7597,0.565,255,255,255,12.008,12.885,2.760,11.554,12.473,0.919,0.788
7598,0.582,255,255,255,23.619,13.087,3.224,23.173,12.538,0.853,0.985
7599,0.448,255,255,255,51.592,13.077,2.459,51.203,12.670,0.788,0.788
7600,0.022,255,255,255,13.109,12.807,0.503,12.998,12.735,0.197,0.131
7601,0.444,255,255,255,41.479,13.238,2.497,41.094,12.866,0.788,0.788
7602,0.004,255,255,255,61.083,12.899,0.186,61.050,12.866,0.066,0.066
7603,0.009,255,255,255,12.670,13.359,0.279,12.604,13.326,0.131,0.066
7604,0.004,255,255,255,8.501,13.424,0.186,8.468,13.392,0.066,0.066
7605,0.004,255,255,255,57.866,13.490,0.186,57.834,13.457,0.066,0.066
7606,1.099,255,255,255,30.069,14.080,4.197,29.343,13.523,1.510,1.050
7607,0.004,255,255,255,11.652,13.621,0.186,11.619,13.589,0.066,0.066
7608,0.026,255,255,255,12.232,13.840,0.688,12.144,13.720,0.197,0.263
7609,0.556,255,255,255,42.072,14.198,2.683,41.685,13.720,0.788,0.919
7610,0.047,255,255,255,11.276,14.099,1.694,11.028,13.786,0.460,0.656
7611,0.004,255,255,255,31.936,13.818,0.186,31.904,13.786,0.066,0.066
7612,0.474,255,255,255,39.092,14.245,2.481,38.731,13.851,0.722,0.788
7613,0.625,255,255,255,37.871,14.373,2.869,37.418,13.917,0.919,0.919
7614,0.500,255,255,255,10.817,15.762,8.599,9.781,14.048,2.232,3.348
7615,0.539,255,255,255,58.459,14.516,2.629,58.030,14.114,0.853,0.788
7616,0.039,255,255,255,53.599,14.409,0.634,53.501,14.311,0.197,0.197
7617,0.694,255,255,255,35.035,15.064,3.093,34.529,14.639,1.050,0.919
7618,0.004,255,255,255,34.234,14.737,0.186,34.201,14.705,0.066,0.066
7619,0.009,255,255,255,60.656,14.869,0.279,60.591,14.836,0.131,0.066
7620,0.009,255,255,255,62.658,14.901,0.317,62.626,14.836,0.066,0.131
7621,0.004,255,255,255,10.602,15.000,0.186,10.569,14.967,0.066,0.066
7622,0.004,255,255,255,10.470,15.131,0.186,10.438,15.098,0.066,0.066
7623,0.004,255,255,255,62.855,15.197,0.186,62.823,15.164,0.066,0.066
7624,0.720,255,255,255,43.811,15.763,3.077,43.326,15.295,0.985,0.919
7625,0.009,255,255,255,60.689,15.427,0.317,60.656,15.361,0.066,0.131
7626,0.474,255,255,255,46.832,15.798,2.481,46.477,15.427,0.722,0.788
7627,0.004,255,255,255,63.052,15.459,0.186,63.020,15.427,0.066,0.066
7628,0.009,255,255,255,6.532,15.952,0.317,6.499,15.886,0.066,0.131
7629,0.004,255,255,255,63.446,16.050,0.186,63.413,16.017,0.066,0.066
7630,1.056,255,255,255,34.690,16.950,4.028,34.136,16.214,1.050,1.444
7631,0.293,255,255,255,20.656,16.930,1.918,20.350,16.608,0.591,0.656
7632,0.004,255,255,255,63.840,16.641,0.186,63.807,16.608,0.066,0.066
7633,0.689,255,255,255,13.770,17.387,2.984,13.326,16.937,0.919,0.919
7634,0.009,255,255,255,64.070,17.002,0.371,64.004,16.937,0.131,0.131
7635,0.043,255,255,255,63.945,17.284,1.508,63.742,17.002,0.394,0.591
7636,0.013,255,255,255,9.311,17.276,0.371,9.256,17.199,0.131,0.131
7637,0.004,255,255,255,11.324,17.298,0.186,11.291,17.265,0.066,0.066
