,Number,Area,Perim,Width,Height,Circularity
0,1.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
1,2.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
2,3.0,0.022000000000000002,0.46399999999999997,0.19699999999999998,0.131,1.284093311143272
3,4.0,0.017,0.541,0.263,0.066,0.7299014983688928
4,5.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
5,6.0,0.022000000000000002,0.727,0.32799999999999996,0.131,0.523074710216283
6,7.0,0.047,1.345,0.591,0.19699999999999998,0.3264849401610708
7,8.0,0.384,8.876,4.2669999999999995,0.39399999999999996,0.0612500575745056
8,9.0,0.034,0.9890000000000001,0.46,0.131,0.43681364666356387
9,10.0,0.017,0.541,0.263,0.066,0.7299014983688928
10,11.0,0.013000000000000001,0.41,0.19699999999999998,0.066,0.9718192622645407
11,12.0,0.013000000000000001,0.41,0.19699999999999998,0.066,0.9718192622645407
12,13.0,0.013000000000000001,0.41,0.19699999999999998,0.066,0.9718192622645407
13,14.0,0.013000000000000001,0.41,0.19699999999999998,0.066,0.9718192622645407
14,15.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
15,16.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
16,17.0,0.017,0.541,0.263,0.066,0.7299014983688928
17,18.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
18,19.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
19,20.0,0.034,1.044,0.46,0.131,0.39200154952970806
20,21.0,2.8139999999999996,46.138999999999996,18.906,9.322000000000001,0.01661106975721769
21,22.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
22,23.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
23,24.0,0.013000000000000001,0.41,0.19699999999999998,0.066,0.9718192622645407
24,25.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
25,26.0,2.15,23.426,10.437999999999999,1.444,0.049232517737065835
26,27.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
27,28.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
28,29.0,0.022000000000000002,0.672,0.32799999999999996,0.066,0.6122009493602558
29,30.0,0.022000000000000002,0.46399999999999997,0.19699999999999998,0.131,1.284093311143272
30,31.0,0.48700000000000004,2.536,0.853,0.722,0.9515690910810072
31,32.0,0.017,0.541,0.263,0.066,0.7299014983688928
32,33.0,0.017,0.541,0.263,0.066,0.7299014983688928
33,34.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
34,35.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
35,36.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
36,37.0,0.013000000000000001,0.41,0.19699999999999998,0.066,0.9718192622645407
37,38.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
38,39.0,6.011,55.556999999999995,20.284000000000002,15.492,0.02447253843064198
39,40.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
40,41.0,0.022000000000000002,0.727,0.32799999999999996,0.131,0.523074710216283
41,42.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
42,43.0,0.017,0.46399999999999997,0.19699999999999998,0.131,0.9922539222470736
43,44.0,0.017,0.371,0.131,0.131,1.5520687908697697
44,45.0,0.22399999999999998,3.426,1.182,0.6559999999999999,0.239818766625504
45,46.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
46,47.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
47,48.0,0.616,2.853,0.919,0.853,0.951014268430492
48,49.0,0.677,3.595,0.919,1.1159999999999999,0.658264968221677
49,50.0,0.095,1.639,0.6559999999999999,0.39399999999999996,0.44440154708395657
50,51.0,0.746,3.17,0.853,1.1159999999999999,0.9328894185743656
51,52.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
52,53.0,0.22,1.694,0.591,0.525,0.9633979832839489
53,54.0,0.022000000000000002,0.46399999999999997,0.19699999999999998,0.131,1.284093311143272
54,55.0,0.034,0.912,0.39399999999999996,0.19699999999999998,0.5136876261063643
55,56.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
56,57.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
57,58.0,0.836,12.675,3.3480000000000003,2.101,0.06539133524645818
58,59.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
59,60.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
