,Number,Area,Perim,Width,Height,Circularity
0,1.0,0.02,0.42,0.198,0.099,1.424758573056596
1,2.0,0.01,0.28,0.099,0.099,1.6028533946886698
2,3.0,0.953,15.315,7.235,1.09,0.05105858352541686
3,4.0,0.028999999999999998,0.619,0.297,0.099,0.9511008370278187
4,5.0,0.039,0.8170000000000001,0.396,0.099,0.7342270119208072
5,6.0,0.02,0.479,0.099,0.198,1.0953901538399131
6,7.0,0.02,0.42,0.198,0.099,1.424758573056596
7,8.0,0.01,0.28,0.099,0.099,1.6028533946886698
8,9.0,0.028999999999999998,0.619,0.297,0.099,0.9511008370278187
9,10.0,0.08800000000000001,1.808,0.892,0.099,0.3382950817359202
10,11.0,0.039,0.8170000000000001,0.396,0.099,0.7342270119208072
11,12.0,0.059000000000000004,1.213,0.595,0.099,0.5038952609761326
12,13.0,0.039,0.8170000000000001,0.396,0.099,0.7342270119208072
13,14.0,0.02,0.42,0.198,0.099,1.424758573056596
14,15.0,0.02,0.561,0.198,0.198,0.7985721076355992
15,16.0,0.049,1.015,0.496,0.099,0.5976870684594139
16,17.0,5.982,69.89,28.642,14.370999999999999,0.01538955959575512
17,18.0,0.226,4.317,1.982,0.496,0.1523892058662537
18,19.0,0.11800000000000001,1.436,0.595,0.297,0.7190895731791258
19,20.0,0.028999999999999998,0.619,0.297,0.099,0.9511008370278187
20,21.0,0.01,0.28,0.099,0.099,1.6028533946886698
21,22.0,0.138,2.475,0.991,0.496,0.28309913597087083
22,23.0,0.01,0.28,0.099,0.099,1.6028533946886698
23,24.0,71.388,290.874,53.716,85.62899999999999,0.010602914821928397
24,25.0,0.01,0.28,0.099,0.099,1.6028533946886698
25,26.0,0.01,0.28,0.099,0.099,1.6028533946886698
26,27.0,0.02,0.42,0.198,0.099,1.424758573056596
27,28.0,0.01,0.28,0.099,0.099,1.6028533946886698
28,29.0,0.01,0.28,0.099,0.099,1.6028533946886698
29,30.0,0.02,0.42,0.198,0.099,1.424758573056596
30,31.0,0.01,0.28,0.099,0.099,1.6028533946886698
31,32.0,0.039,0.8170000000000001,0.396,0.099,0.7342270119208072
32,33.0,0.01,0.28,0.099,0.099,1.6028533946886698
33,34.0,0.01,0.28,0.099,0.099,1.6028533946886698
34,35.0,0.028999999999999998,0.561,0.198,0.198,1.1579295560716187
35,36.0,0.01,0.28,0.099,0.099,1.6028533946886698
36,37.0,0.01,0.28,0.099,0.099,1.6028533946886698
37,38.0,0.01,0.28,0.099,0.099,1.6028533946886698
38,39.0,0.01,0.28,0.099,0.099,1.6028533946886698
39,40.0,0.039,0.899,0.396,0.198,0.6063942682080419
40,41.0,0.11800000000000001,1.6340000000000001,0.6940000000000001,0.297,0.5553768423503542
41,42.0,0.01,0.28,0.099,0.099,1.6028533946886698
42,43.0,0.028999999999999998,0.701,0.297,0.198,0.7416035942466866
43,44.0,0.413,6.081,2.577,1.189,0.14034918945954486
44,45.0,0.02,0.42,0.198,0.099,1.424758573056596
45,46.0,0.039,0.899,0.396,0.198,0.6063942682080419
46,47.0,0.314,4.447,1.883,0.892,0.199528644967636
47,48.0,0.01,0.28,0.099,0.099,1.6028533946886698
48,49.0,0.02,0.42,0.198,0.099,1.424758573056596
49,50.0,0.02,0.561,0.198,0.198,0.7985721076355992
50,51.0,0.028999999999999998,0.701,0.297,0.198,0.7416035942466866
51,52.0,0.01,0.28,0.099,0.099,1.6028533946886698
52,53.0,0.01,0.28,0.099,0.099,1.6028533946886698
53,54.0,0.059000000000000004,0.899,0.396,0.198,0.9173656878019096
54,55.0,0.079,1.46,0.595,0.396,0.46572681485005385
55,56.0,0.01,0.28,0.099,0.099,1.6028533946886698
56,57.0,0.128,1.518,0.595,0.396,0.698033539831193
57,58.0,0.01,0.28,0.099,0.099,1.6028533946886698
58,59.0,0.01,0.28,0.099,0.099,1.6028533946886698
