,Number,Area,Perim,Width,Height,Circularity
0,1.0,0.151,2.699,0.985,0.32799999999999996,0.26048399394396965
1,2.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
2,3.0,0.013000000000000001,0.46399999999999997,0.19699999999999998,0.131,0.7587824111301152
3,4.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
4,5.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
5,6.0,0.022000000000000002,0.7809999999999999,0.32799999999999996,0.19699999999999998,0.45324234420873116
6,7.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
7,8.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
8,9.0,0.039,1.229,0.525,0.263,0.32446712844792197
9,10.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
10,11.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
11,12.0,0.017,0.503,0.19699999999999998,0.131,0.8443505979791468
12,13.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
13,14.0,0.013000000000000001,0.41,0.19699999999999998,0.066,0.9718192622645407
14,15.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
15,16.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
16,17.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
17,18.0,0.013000000000000001,0.46399999999999997,0.19699999999999998,0.131,0.7587824111301152
18,19.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
19,20.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
20,21.0,0.009000000000000001,0.371,0.131,0.131,0.8216834775192899
21,22.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
22,23.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
23,24.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
24,25.0,0.009000000000000001,0.371,0.131,0.131,0.8216834775192899
25,26.0,0.013000000000000001,0.46399999999999997,0.19699999999999998,0.131,0.7587824111301152
26,27.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
27,28.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
28,29.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
29,30.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
30,31.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
31,32.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
32,33.0,0.009000000000000001,0.371,0.131,0.131,0.8216834775192899
33,34.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
34,35.0,0.026000000000000002,0.912,0.39399999999999996,0.19699999999999998,0.3928199493754551
35,36.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
36,37.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
37,38.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
38,39.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
39,40.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
40,41.0,0.013000000000000001,0.371,0.131,0.131,1.1868761341945298
41,42.0,0.009000000000000001,0.371,0.131,0.131,0.8216834775192899
42,43.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
43,44.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
44,45.0,0.009000000000000001,0.371,0.131,0.131,0.8216834775192899
45,46.0,0.013000000000000001,0.371,0.131,0.131,1.1868761341945298
46,47.0,0.013000000000000001,0.46399999999999997,0.19699999999999998,0.131,0.7587824111301152
47,48.0,0.099,1.879,0.722,0.525,0.35236397323363045
48,49.0,0.017,0.595,0.263,0.131,0.6034271603533817
49,50.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
50,51.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
51,52.0,0.078,2.119,0.7879999999999999,0.6559999999999999,0.21829437918150715
52,53.0,0.284,6.41,2.6260000000000003,1.444,0.08685846399512277
53,54.0,0.026000000000000002,0.9670000000000001,0.39399999999999996,0.263,0.3494059238995844
54,55.0,0.254,1.77,0.525,0.591,1.0188190290297263
55,56.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
56,57.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
57,58.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
58,59.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
59,60.0,0.013000000000000001,0.371,0.131,0.131,1.1868761341945298
60,61.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
61,62.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
62,63.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
63,64.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
64,65.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
65,66.0,0.922,10.99,3.1510000000000002,2.6910000000000003,0.09592800226559803
66,67.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
67,68.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
68,69.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
69,70.0,0.03,1.114,0.39399999999999996,0.39399999999999996,0.3037810906971296
70,71.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
71,72.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
72,73.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
73,74.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
74,75.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
75,76.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
76,77.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
77,78.0,0.267,1.825,0.591,0.591,1.0073847863490784
78,79.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
79,80.0,0.055999999999999994,0.7809999999999999,0.263,0.263,1.1537077852585884
80,81.0,0.013000000000000001,0.371,0.131,0.131,1.1868761341945298
81,82.0,0.013000000000000001,0.371,0.131,0.131,1.1868761341945298
82,83.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
83,84.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
84,85.0,0.043,0.688,0.263,0.19699999999999998,1.1415670979614074
85,86.0,0.017,0.557,0.19699999999999998,0.19699999999999998,0.6885704722468272
86,87.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
87,88.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
88,89.0,1.3880000000000001,13.024000000000001,3.282,4.136,0.10282780257461355
89,90.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
90,91.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
91,92.0,0.039,0.9279999999999999,0.32799999999999996,0.32799999999999996,0.5690868083475864
92,93.0,0.017,0.557,0.19699999999999998,0.19699999999999998,0.6885704722468272
93,94.0,0.013000000000000001,0.371,0.131,0.131,1.1868761341945298
94,95.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
95,96.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
96,97.0,0.013000000000000001,0.371,0.131,0.131,1.1868761341945298
97,98.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
98,99.0,1.146,11.151,2.7569999999999997,3.9389999999999996,0.11581554361935577
99,100.0,0.08199999999999999,2.491,0.919,0.7879999999999999,0.16606429317803456
100,101.0,0.034,1.245,0.32799999999999996,0.39399999999999996,0.27564497404120053
101,102.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
102,103.0,0.013000000000000001,0.503,0.131,0.19699999999999998,0.645679869042877
103,104.0,0.017,0.503,0.131,0.19699999999999998,0.8443505979791468
104,105.0,0.022000000000000002,0.8740000000000001,0.263,0.32799999999999996,0.3619175802301705
105,106.0,0.08199999999999999,1.005,0.32799999999999996,0.32799999999999996,1.0202147376326847
106,107.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
107,108.0,0.009000000000000001,0.371,0.131,0.131,0.8216834775192899
108,109.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
109,110.0,0.06,0.82,0.263,0.263,1.1213299179975467
110,111.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
111,112.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
112,113.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
113,114.0,0.017,0.634,0.131,0.263,0.5314718537454496
114,115.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
115,116.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
116,117.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
117,118.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
118,119.0,0.03,0.973,0.066,0.46,0.39820383492084344
119,120.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
120,121.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
121,122.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
122,123.0,0.034,0.912,0.263,0.32799999999999996,0.5136876261063643
123,124.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
124,125.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
125,126.0,0.03,0.595,0.19699999999999998,0.19699999999999998,1.064871459447144
126,127.0,0.263,1.8630000000000002,0.591,0.591,0.9522257089355304
127,128.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
128,129.0,0.013000000000000001,0.44799999999999995,0.066,0.19699999999999998,0.8139489894903404
129,130.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
130,131.0,0.013000000000000001,0.44799999999999995,0.066,0.19699999999999998,0.8139489894903404
131,132.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
132,133.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
133,134.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
134,135.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
135,136.0,0.039,1.005,0.19699999999999998,0.32799999999999996,0.48522408253261834
136,137.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
137,138.0,0.28,1.902,0.591,0.591,0.97262822907664
138,139.0,0.03,0.688,0.263,0.19699999999999998,0.7964421613684238
139,140.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
140,141.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
141,142.0,0.069,1.9180000000000001,0.46,0.722,0.23570117583998765
142,143.0,0.134,1.268,0.39399999999999996,0.39399999999999996,1.0473121823807388
143,144.0,0.017,0.371,0.131,0.131,1.5520687908697697
144,145.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
145,146.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
146,147.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
147,148.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
148,149.0,0.336,2.0869999999999997,0.6559999999999999,0.6559999999999999,0.9694027408186354
149,150.0,0.017,0.46399999999999997,0.19699999999999998,0.131,0.9922539222470736
150,151.0,0.017,0.503,0.131,0.19699999999999998,0.8443505979791468
151,152.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
152,153.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
153,154.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
154,155.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
155,156.0,0.013000000000000001,0.503,0.131,0.19699999999999998,0.645679869042877
156,157.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
157,158.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
158,159.0,0.026000000000000002,0.557,0.19699999999999998,0.19699999999999998,1.0531077810833829
159,160.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
160,161.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
161,162.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
162,163.0,0.207,1.601,0.525,0.525,1.0148399275641469
163,164.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
164,165.0,0.03,0.973,0.066,0.46,0.39820383492084344
165,166.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
166,167.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
167,168.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
168,169.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
169,170.0,0.055999999999999994,1.3769999999999998,0.39399999999999996,0.525,0.3711333745774227
