,Number,Area,Perim,Width,Height,Circularity
0,1.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
1,2.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
2,3.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
3,4.0,0.052000000000000005,0.951,0.39399999999999996,0.19699999999999998,0.7225238273140755
4,5.0,0.013000000000000001,0.41,0.19699999999999998,0.066,0.9718192622645407
5,6.0,0.03,0.7809999999999999,0.32799999999999996,0.19699999999999998,0.6180577421028152
6,7.0,0.013000000000000001,0.46399999999999997,0.19699999999999998,0.131,0.7587824111301152
7,8.0,233.66400000000002,709.29,66.958,67.221,0.005836520255436009
8,9.0,0.065,1.569,0.722,0.19699999999999998,0.33180072717593073
9,10.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
10,11.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
11,12.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
12,13.0,2.237,15.652999999999999,6.499,0.919,0.11473097323992482
13,14.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
14,15.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
15,16.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
16,17.0,0.095,1.585,0.6559999999999999,0.32799999999999996,0.47519836334887255
17,18.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
18,19.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
19,20.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
20,21.0,0.013000000000000001,0.371,0.131,0.131,1.1868761341945298
21,22.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
22,23.0,0.022000000000000002,0.557,0.19699999999999998,0.19699999999999998,0.891091199378247
23,24.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
24,25.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
25,26.0,0.013000000000000001,0.46399999999999997,0.19699999999999998,0.131,0.7587824111301152
26,27.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
27,28.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
28,29.0,0.03,0.82,0.32799999999999996,0.19699999999999998,0.5606649589987733
29,30.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
30,31.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
31,32.0,0.345,3.688,1.444,0.591,0.31874775477731565
32,33.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
33,34.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
34,35.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
35,36.0,0.009000000000000001,0.371,0.131,0.131,0.8216834775192899
36,37.0,0.009000000000000001,0.371,0.131,0.131,0.8216834775192899
37,38.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
38,39.0,8.455,40.126999999999995,13.786,9.847000000000001,0.06598574008819307
39,40.0,0.009000000000000001,0.371,0.131,0.131,0.8216834775192899
40,41.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
41,42.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
42,43.0,5.796,44.83,15.164000000000001,13.589,0.036241049268299706
43,44.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
44,45.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
45,46.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
46,47.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
47,48.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
48,49.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
49,50.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
50,51.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
51,52.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
52,53.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
53,54.0,0.009000000000000001,0.371,0.131,0.131,0.8216834775192899
54,55.0,0.047,1.415,0.591,0.32799999999999996,0.29498154247144104
55,56.0,0.052000000000000005,1.524,0.591,0.46,0.28134763811676217
56,57.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
57,58.0,0.009000000000000001,0.371,0.131,0.131,0.8216834775192899
58,59.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
59,60.0,0.052000000000000005,1.95,0.722,0.6559999999999999,0.17184780327328786
60,61.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
61,62.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
62,63.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
63,64.0,0.026000000000000002,0.836,0.32799999999999996,0.263,0.4674882042154177
64,65.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
65,66.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
66,67.0,0.306,4.5169999999999995,1.379,1.51,0.18846517382535274
67,68.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
68,69.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
69,70.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
70,71.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
71,72.0,0.009000000000000001,0.371,0.131,0.131,0.8216834775192899
72,73.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
73,74.0,0.009000000000000001,0.371,0.131,0.131,0.8216834775192899
74,75.0,0.358,8.695,2.9539999999999997,2.9539999999999997,0.05950503541281032
75,76.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
76,77.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
77,78.0,0.013000000000000001,0.371,0.131,0.131,1.1868761341945298
78,79.0,0.017,0.371,0.131,0.131,1.5520687908697697
79,80.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
80,81.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
81,82.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
82,83.0,0.022000000000000002,0.503,0.19699999999999998,0.131,1.092689009149484
83,84.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
84,85.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
85,86.0,0.09,1.3769999999999998,0.39399999999999996,0.525,0.5964643519994294
86,87.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
87,88.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
88,89.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
89,90.0,0.022000000000000002,0.503,0.131,0.19699999999999998,1.092689009149484
90,91.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
91,92.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
92,93.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
93,94.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
94,95.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
95,96.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
96,97.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
97,98.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
98,99.0,0.017,0.743,0.263,0.263,0.38697343975644544
99,100.0,0.034,0.7809999999999999,0.19699999999999998,0.263,0.7004654410498572
100,101.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
101,102.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
102,103.0,0.10800000000000001,2.026,0.525,0.6559999999999999,0.3306395014736342
103,104.0,0.022000000000000002,0.46399999999999997,0.19699999999999998,0.131,1.284093311143272
104,105.0,0.03,0.82,0.19699999999999998,0.32799999999999996,0.5606649589987733
105,106.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
106,107.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
107,108.0,0.013000000000000001,0.371,0.131,0.131,1.1868761341945298
108,109.0,0.017,0.503,0.131,0.19699999999999998,0.8443505979791468
109,110.0,0.026000000000000002,0.634,0.131,0.263,0.8128393057283347
110,111.0,2.6069999999999998,27.897,4.726,11.815999999999999,0.04209552113026795
111,112.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
112,113.0,0.052000000000000005,0.7809999999999999,0.263,0.263,1.0713000863115465
113,114.0,0.013000000000000001,0.371,0.131,0.131,1.1868761341945298
114,115.0,0.685,8.551,1.641,3.282,0.11772443712919103
