,Number,Area,Perim,Width,Height,Circularity
0,1.0,0.059000000000000004,1.213,0.595,0.099,0.5038952609761326
1,2.0,0.079,1.237,0.496,0.297,0.6487801533911446
2,3.0,0.039,0.8170000000000001,0.396,0.099,0.7342270119208072
3,4.0,0.01,0.28,0.099,0.099,1.6028533946886698
4,5.0,0.039,0.8170000000000001,0.396,0.099,0.7342270119208072
5,6.0,0.049,1.015,0.496,0.099,0.5976870684594139
6,7.0,0.028999999999999998,0.619,0.297,0.099,0.9511008370278187
7,8.0,0.01,0.28,0.099,0.099,1.6028533946886698
8,9.0,0.059000000000000004,1.213,0.595,0.099,0.5038952609761326
9,10.0,0.059000000000000004,1.213,0.595,0.099,0.5038952609761326
10,11.0,0.01,0.28,0.099,0.099,1.6028533946886698
11,12.0,0.01,0.28,0.099,0.099,1.6028533946886698
12,13.0,0.02,0.42,0.198,0.099,1.424758573056596
13,14.0,0.049,1.097,0.496,0.198,0.5116732217422335
14,15.0,1.169,19.225,8.622,1.784,0.03974583984587654
15,16.0,0.01,0.28,0.099,0.099,1.6028533946886698
16,17.0,0.02,0.479,0.099,0.198,1.0953901538399131
17,18.0,0.02,0.42,0.198,0.099,1.424758573056596
18,19.0,0.028999999999999998,0.619,0.297,0.099,0.9511008370278187
19,20.0,0.039,0.701,0.297,0.198,0.9973289715731303
20,21.0,0.01,0.28,0.099,0.099,1.6028533946886698
21,22.0,0.02,0.42,0.198,0.099,1.424758573056596
22,23.0,0.02,0.42,0.198,0.099,1.424758573056596
23,24.0,0.02,0.42,0.198,0.099,1.424758573056596
24,25.0,0.049,1.015,0.496,0.099,0.5976870684594139
25,26.0,0.01,0.28,0.099,0.099,1.6028533946886698
26,27.0,0.01,0.28,0.099,0.099,1.6028533946886698
27,28.0,0.028999999999999998,0.619,0.297,0.099,0.9511008370278187
28,29.0,0.039,0.8170000000000001,0.396,0.099,0.7342270119208072
29,30.0,0.098,1.8319999999999999,0.7929999999999999,0.297,0.36693150403763247
30,31.0,0.01,0.28,0.099,0.099,1.6028533946886698
31,32.0,0.01,0.28,0.099,0.099,1.6028533946886698
32,33.0,0.02,0.42,0.198,0.099,1.424758573056596
33,34.0,0.10800000000000001,1.692,0.7929999999999999,0.198,0.47405955237510095
34,35.0,0.028999999999999998,0.619,0.297,0.099,0.9511008370278187
35,36.0,0.02,0.42,0.198,0.099,1.424758573056596
36,37.0,0.028999999999999998,0.619,0.297,0.099,0.9511008370278187
37,38.0,0.08800000000000001,1.494,0.6940000000000001,0.198,0.49544031281915135
38,39.0,38.001999999999995,219.638,79.484,36.174,0.009899228677605855
39,40.0,0.196,4.119,1.883,0.496,0.1451718299982181
40,41.0,0.069,0.899,0.396,0.198,1.0728513975988434
41,42.0,0.01,0.28,0.099,0.099,1.6028533946886698
42,43.0,0.02,0.42,0.198,0.099,1.424758573056596
43,44.0,0.039,0.899,0.396,0.198,0.6063942682080419
44,45.0,0.08800000000000001,1.972,0.892,0.297,0.2843666848206553
45,46.0,0.01,0.28,0.099,0.099,1.6028533946886698
46,47.0,0.049,1.097,0.496,0.198,0.5116732217422335
47,48.0,0.049,0.899,0.297,0.198,0.7618799780049758
48,49.0,0.02,0.42,0.198,0.099,1.424758573056596
49,50.0,0.049,0.759,0.297,0.198,1.0688638578665142
50,51.0,0.01,0.28,0.099,0.099,1.6028533946886698
51,52.0,0.02,0.42,0.198,0.099,1.424758573056596
52,53.0,0.039,0.899,0.396,0.198,0.6063942682080419
53,54.0,0.01,0.28,0.099,0.099,1.6028533946886698
54,55.0,0.059000000000000004,0.9570000000000001,0.396,0.198,0.8095394177939716
55,56.0,0.02,0.42,0.198,0.099,1.424758573056596
56,57.0,0.01,0.28,0.099,0.099,1.6028533946886698
57,58.0,0.01,0.28,0.099,0.099,1.6028533946886698
58,59.0,0.02,0.561,0.198,0.198,0.7985721076355992
59,60.0,0.226,3.91,1.189,0.595,0.18576538345806037
60,61.0,0.01,0.28,0.099,0.099,1.6028533946886698
61,62.0,0.01,0.28,0.099,0.099,1.6028533946886698
62,63.0,0.01,0.28,0.099,0.099,1.6028533946886698
63,64.0,0.01,0.28,0.099,0.099,1.6028533946886698
64,65.0,0.02,0.561,0.198,0.198,0.7985721076355992
65,66.0,0.226,2.813,1.189,0.595,0.35890444646569103
66,67.0,0.01,0.28,0.099,0.099,1.6028533946886698
67,68.0,0.028999999999999998,0.619,0.297,0.099,0.9511008370278187
68,69.0,0.01,0.28,0.099,0.099,1.6028533946886698
69,70.0,0.01,0.28,0.099,0.099,1.6028533946886698
70,71.0,0.01,0.28,0.099,0.099,1.6028533946886698
71,72.0,0.01,0.28,0.099,0.099,1.6028533946886698
72,73.0,0.02,0.479,0.099,0.198,1.0953901538399131
73,74.0,0.02,0.479,0.099,0.198,1.0953901538399131
74,75.0,0.028999999999999998,0.561,0.198,0.198,1.1579295560716187
75,76.0,0.01,0.28,0.099,0.099,1.6028533946886698
