 ,Area,Mean,Min,Max,XM,YM,Perim.,BX,BY,Width,Height
1,0.049,255,255,255,49.682,1.021,0.957,49.454,0.892,0.396,0.198
2,0.049,255,255,255,50.138,1.021,0.899,49.950,0.892,0.396,0.198
3,2.721,255,255,255,58.858,1.548,32.602,50.446,0.892,14.767,1.685
4,0.069,255,255,255,46.842,1.211,1.097,46.580,1.090,0.496,0.198
5,0.020,255,255,255,58.473,1.140,0.420,58.374,1.090,0.198,0.099
6,0.010,255,255,255,50.991,1.239,0.280,50.941,1.189,0.099,0.099
7,0.265,255,255,255,52.477,1.239,5.376,51.139,1.189,2.676,0.099
8,0.020,255,255,255,54.013,1.239,0.420,53.914,1.189,0.198,0.099
9,0.088,255,255,255,49.504,1.338,1.808,49.058,1.288,0.892,0.099
10,0.020,255,255,255,55.896,1.338,0.420,55.797,1.288,0.198,0.099
11,0.029,255,255,255,45.143,1.437,0.619,44.995,1.388,0.297,0.099
12,0.029,255,255,255,48.216,1.437,0.619,48.067,1.388,0.297,0.099
13,0.049,255,255,255,57.036,1.437,1.015,56.788,1.388,0.496,0.099
14,0.020,255,255,255,44.796,1.536,0.420,44.697,1.487,0.198,0.099
15,0.010,255,255,255,58.126,1.536,0.280,58.077,1.487,0.099,0.099
16,0.020,255,255,255,44.202,1.635,0.420,44.103,1.586,0.198,0.099
17,0.010,255,255,255,46.233,1.635,0.280,46.184,1.586,0.099,0.099
18,0.010,255,255,255,43.359,1.734,0.280,43.310,1.685,0.099,0.099
19,0.020,255,255,255,42.913,1.833,0.420,42.814,1.784,0.198,0.099
20,0.049,255,255,255,44.846,1.833,1.015,44.598,1.784,0.496,0.099
21,0.010,255,255,255,42.467,1.933,0.280,42.418,1.883,0.099,0.099
22,0.049,255,255,255,44.251,1.933,1.015,44.004,1.883,0.496,0.099
23,0.010,255,255,255,41.873,2.032,0.280,41.823,1.982,0.099,0.099
24,0.020,255,255,255,43.706,2.032,0.420,43.607,1.982,0.198,0.099
25,0.010,255,255,255,27.106,2.131,0.280,27.056,2.081,0.099,0.099
26,0.049,255,255,255,43.161,2.131,1.015,42.913,2.081,0.496,0.099
27,0.020,255,255,255,42.517,2.230,0.420,42.418,2.180,0.198,0.099
28,0.029,255,255,255,42.071,2.329,0.619,41.922,2.279,0.297,0.099
29,0.020,255,255,255,41.724,2.428,0.420,41.625,2.379,0.198,0.099
30,0.010,255,255,255,65.361,2.428,0.280,65.312,2.379,0.099,0.099
31,0.354,255,255,255,39.860,2.852,6.792,38.652,2.478,2.775,0.694
32,0.020,255,255,255,65.708,2.527,0.420,65.609,2.478,0.198,0.099
33,22.680,255,255,255,25.723,15.783,163.850,4.063,2.775,57.779,39.346
34,0.020,255,255,255,66.402,2.825,0.420,66.303,2.775,0.198,0.099
35,0.010,255,255,255,38.305,3.023,0.280,38.255,2.973,0.099,0.099
36,0.118,255,255,255,67.145,3.180,1.740,66.798,2.973,0.694,0.496
37,0.010,255,255,255,38.008,3.122,0.280,37.958,3.072,0.099,0.099
38,0.039,255,255,255,67.740,3.271,0.701,67.591,3.171,0.297,0.198
39,0.020,255,255,255,38.255,3.320,0.420,38.156,3.271,0.198,0.099
40,0.138,255,255,255,68.320,3.483,1.856,67.988,3.271,0.694,0.396
41,0.462,255,255,255,36.150,4.048,7.865,34.390,3.469,3.469,1.189
42,0.010,255,255,255,67.641,3.518,0.280,67.591,3.469,0.099,0.099
43,0.010,255,255,255,69.028,3.617,0.280,68.979,3.568,0.099,0.099
44,0.010,255,255,255,70.812,4.212,0.280,70.763,4.163,0.099,0.099
45,0.010,255,255,255,34.341,4.410,0.280,34.291,4.361,0.099,0.099
46,0.059,255,255,255,49.355,4.476,0.899,49.157,4.361,0.396,0.198
47,0.059,255,255,255,62.487,4.559,1.097,62.239,4.460,0.496,0.198
48,0.010,255,255,255,34.242,4.708,0.280,34.192,4.658,0.099,0.099
49,0.039,255,255,255,63.230,4.757,0.899,63.032,4.658,0.396,0.198
50,0.216,255,255,255,33.300,5.050,3.258,32.705,4.856,1.189,0.496
51,0.010,255,255,255,32.358,5.203,0.280,32.309,5.154,0.099,0.099
52,0.471,255,255,255,31.372,6.015,7.458,29.732,5.253,3.072,1.586
53,0.020,255,255,255,73.538,5.401,0.420,73.438,5.352,0.198,0.099
54,0.010,255,255,255,73.587,5.798,0.280,73.538,5.748,0.099,0.099
55,0.010,255,255,255,75.074,6.095,0.280,75.024,6.046,0.099,0.099
56,0.010,255,255,255,75.272,6.194,0.280,75.222,6.145,0.099,0.099
57,2.662,255,255,255,22.253,11.794,37.154,15.461,6.838,14.172,10.704
58,0.010,255,255,255,75.867,8.077,0.280,75.817,8.028,0.099,0.099
59,0.039,255,255,255,31.045,8.796,0.701,30.921,8.721,0.297,0.198
60,0.039,255,255,255,30.426,9.118,0.899,30.228,9.019,0.396,0.198
61,0.059,255,255,255,29.831,9.399,1.039,29.633,9.217,0.396,0.297
62,0.039,255,255,255,29.410,9.663,1.039,29.237,9.514,0.297,0.297
63,0.196,255,255,255,28.667,10.035,2.557,28.246,9.812,0.991,0.496
64,0.039,255,255,255,75.891,10.357,0.841,75.718,10.208,0.297,0.297
65,0.118,255,255,255,27.758,10.522,1.798,27.453,10.307,0.694,0.496
66,0.010,255,255,255,76.164,10.555,0.280,76.114,10.505,0.099,0.099
67,0.010,255,255,255,76.461,10.753,0.280,76.412,10.704,0.099,0.099
68,0.039,255,255,255,27.106,10.877,0.701,26.957,10.803,0.297,0.198
69,0.039,255,255,255,26.784,11.100,0.841,26.660,11.001,0.297,0.198
70,0.324,255,255,255,25.712,11.723,4.273,24.876,11.199,1.685,0.991
71,0.098,255,255,255,24.549,12.488,1.518,24.281,12.190,0.496,0.496
72,0.020,255,255,255,24.083,12.735,0.420,23.984,12.686,0.198,0.099
73,0.029,255,255,255,23.604,13.000,0.561,23.488,12.884,0.198,0.198
74,0.540,255,255,255,22.104,14.312,8.033,20.713,13.379,2.379,1.982
75,0.010,255,255,255,85.678,14.420,0.280,85.629,14.371,0.099,0.099
76,0.020,255,255,255,22.299,14.618,0.420,22.200,14.569,0.198,0.099
77,0.010,255,255,255,22.150,15.015,0.280,22.101,14.965,0.099,0.099
78,0.020,255,255,255,22.051,15.263,0.479,22.002,15.163,0.099,0.198
79,0.029,255,255,255,20.333,15.675,0.561,20.218,15.560,0.198,0.198
80,0.010,255,255,255,80.326,16.303,0.280,80.277,16.254,0.099,0.099
81,0.039,255,255,255,80.995,16.873,0.759,80.871,16.749,0.297,0.198
