 ,Area,Mean,Min,Max,XM,YM,Perim.,BX,BY,Width,Height
82,0.020,255,255,255,81.268,17.046,0.561,81.169,16.947,0.198,0.198
83,0.010,255,255,255,81.417,17.294,0.280,81.367,17.245,0.099,0.099
84,0.079,255,255,255,81.776,17.542,1.319,81.565,17.245,0.396,0.496
85,0.373,255,255,255,14.311,18.924,6.762,13.082,17.839,2.180,2.478
86,0.029,255,255,255,82.110,18.021,0.701,81.962,17.938,0.297,0.198
87,0.039,255,255,255,17.294,18.533,0.701,17.146,18.434,0.297,0.198
88,0.010,255,255,255,82.804,18.583,0.280,82.754,18.533,0.099,0.099
89,0.020,255,255,255,17.046,18.830,0.561,16.947,18.731,0.198,0.198
90,0.010,255,255,255,83.101,18.880,0.280,83.052,18.830,0.099,0.099
91,0.010,255,255,255,16.700,19.177,0.280,16.650,19.128,0.099,0.099
92,0.010,255,255,255,12.933,20.466,0.280,12.884,20.416,0.099,0.099
93,0.079,255,255,255,12.537,21.073,1.798,12.289,20.713,0.496,0.694
94,0.010,255,255,255,93.805,20.961,0.280,93.755,20.912,0.099,0.099
95,0.049,255,255,255,84.945,21.338,0.759,84.836,21.209,0.198,0.297
96,0.049,255,255,255,12.022,21.754,1.319,11.794,21.506,0.396,0.496
97,0.020,255,255,255,11.695,22.150,0.420,11.596,22.101,0.198,0.099
98,0.010,255,255,255,11.546,22.349,0.280,11.496,22.299,0.099,0.099
99,0.049,255,255,255,11.229,22.765,1.039,11.100,22.596,0.297,0.396
100,0.010,255,255,255,10.852,23.241,0.280,10.803,23.191,0.099,0.099
101,0.010,255,255,255,10.753,23.439,0.280,10.704,23.389,0.099,0.099
102,0.020,255,255,255,10.604,23.687,0.561,10.505,23.588,0.198,0.198
103,0.010,255,255,255,15.609,23.736,0.280,15.560,23.687,0.099,0.099
104,0.020,255,255,255,10.357,23.984,0.479,10.307,23.885,0.099,0.198
105,0.029,255,255,255,89.312,24.033,0.759,89.196,23.885,0.198,0.297
106,0.039,255,255,255,89.593,24.529,0.759,89.494,24.380,0.198,0.297
107,0.020,255,255,255,10.010,24.579,0.561,9.911,24.479,0.198,0.198
108,0.010,255,255,255,10.357,24.727,0.280,10.307,24.678,0.099,0.099
109,0.010,255,255,255,89.742,24.826,0.280,89.692,24.777,0.099,0.099
110,0.010,255,255,255,9.762,24.925,0.280,9.713,24.876,0.099,0.099
111,0.020,255,255,255,89.940,25.074,0.479,89.890,24.975,0.099,0.198
112,0.010,255,255,255,9.663,25.124,0.280,9.613,25.074,0.099,0.099
113,0.010,255,255,255,90.138,25.421,0.280,90.088,25.371,0.099,0.099
114,0.010,255,255,255,9.366,25.619,0.280,9.316,25.570,0.099,0.099
115,0.020,255,255,255,90.237,25.669,0.479,90.188,25.570,0.099,0.198
116,1.139,255,255,255,91.884,28.386,11.673,90.386,25.867,2.478,3.766
117,0.010,255,255,255,9.068,26.115,0.280,9.019,26.065,0.099,0.099
118,0.029,255,255,255,8.837,26.511,0.759,8.721,26.363,0.198,0.297
119,0.010,255,255,255,8.672,26.808,0.280,8.622,26.759,0.099,0.099
120,0.010,255,255,255,8.474,27.106,0.280,8.424,27.056,0.099,0.099
121,0.020,255,255,255,97.571,27.354,0.479,97.521,27.254,0.099,0.198
122,0.020,255,255,255,55.004,30.277,0.420,54.905,30.228,0.198,0.099
123,0.020,255,255,255,95.044,30.723,0.561,94.945,30.624,0.198,0.198
124,0.029,255,255,255,12.834,31.169,0.619,12.686,31.120,0.297,0.099
125,0.010,255,255,255,12.735,31.665,0.280,12.686,31.615,0.099,0.099
126,0.010,255,255,255,16.402,31.764,0.280,16.353,31.714,0.099,0.099
127,0.010,255,255,255,12.339,31.863,0.280,12.289,31.813,0.099,0.099
128,0.020,255,255,255,100.346,32.012,0.479,100.296,31.913,0.099,0.198
129,0.088,255,255,255,47.533,32.480,1.740,47.175,32.210,0.694,0.496
130,0.010,255,255,255,67.442,32.259,0.280,67.393,32.210,0.099,0.099
131,0.010,255,255,255,5.798,32.458,0.280,5.748,32.408,0.099,0.099
132,0.138,255,255,255,100.162,32.790,1.914,99.999,32.408,0.396,0.793
133,0.029,255,255,255,100.544,32.557,0.677,100.495,32.408,0.099,0.297
134,0.010,255,255,255,93.309,32.656,0.280,93.260,32.606,0.099,0.099
135,0.010,255,255,255,100.346,33.350,0.280,100.296,33.300,0.099,0.099
136,0.010,255,255,255,100.941,33.449,0.280,100.891,33.399,0.099,0.099
137,0.010,255,255,255,100.445,33.548,0.280,100.396,33.498,0.099,0.099
138,0.020,255,255,255,69.276,33.647,0.420,69.177,33.597,0.198,0.099
139,0.020,255,255,255,94.102,34.192,0.479,94.053,34.093,0.099,0.198
140,0.010,255,255,255,100.643,34.142,0.280,100.594,34.093,0.099,0.099
141,0.010,255,255,255,4.906,34.638,0.280,4.856,34.588,0.099,0.099
142,0.246,255,255,255,93.405,36.085,1.774,93.161,35.778,0.496,0.595
143,0.010,255,255,255,59.613,36.025,0.280,59.563,35.976,0.099,0.099
144,0.157,255,255,255,92.963,36.602,1.378,92.764,36.372,0.396,0.496
145,0.049,255,255,255,101.496,36.561,0.957,101.387,36.372,0.198,0.396
146,0.010,255,255,255,101.634,36.917,0.280,101.585,36.868,0.099,0.099
147,0.010,255,255,255,80.029,37.017,0.280,79.979,36.967,0.099,0.099
148,0.010,255,255,255,85.579,37.017,0.280,85.529,36.967,0.099,0.099
149,0.029,255,255,255,65.295,37.380,0.561,65.213,37.264,0.198,0.198
150,0.029,255,255,255,3.650,37.512,0.759,3.568,37.363,0.198,0.297
151,0.010,255,255,255,74.083,37.710,0.280,74.033,37.661,0.099,0.099
152,0.010,255,255,255,91.724,37.809,0.280,91.674,37.760,0.099,0.099
153,0.010,255,255,255,3.419,38.008,0.280,3.370,37.958,0.099,0.099
154,0.923,255,255,255,96.769,39.902,7.154,96.233,38.255,0.991,2.973
155,0.010,255,255,255,49.504,38.503,0.280,49.454,38.454,0.099,0.099
156,0.039,255,255,255,69.771,38.602,0.981,69.573,38.454,0.396,0.297
157,0.010,255,255,255,49.702,38.701,0.280,49.653,38.652,0.099,0.099
158,0.010,255,255,255,70.217,38.800,0.280,70.168,38.751,0.099,0.099
159,0.010,255,255,255,92.616,38.900,0.280,92.566,38.850,0.099,0.099
160,0.010,255,255,255,57.135,39.296,0.280,57.086,39.246,0.099,0.099
161,0.029,255,255,255,85.579,39.593,0.677,85.529,39.445,0.099,0.297
162,0.010,255,255,255,2.825,40.584,0.280,2.775,40.535,0.099,0.099
163,2.485,255,255,255,3.593,46.284,18.456,3.072,42.220,1.189,8.325
164,0.069,255,255,255,97.642,43.260,1.552,97.521,42.913,0.198,0.694
165,0.629,255,255,255,96.907,45.407,10.137,96.530,43.112,0.694,4.658
166,0.010,255,255,255,2.131,43.657,0.280,2.081,43.607,0.099,0.099
167,0.020,255,255,255,72.497,44.004,0.479,72.447,43.904,0.099,0.198
168,0.029,255,255,255,97.769,44.251,0.677,97.720,44.103,0.099,0.297
169,0.020,255,255,255,97.868,44.697,0.479,97.819,44.598,0.099,0.198
170,0.020,255,255,255,103.666,44.796,0.561,103.567,44.697,0.198,0.198
171,0.010,255,255,255,103.418,44.945,0.280,103.369,44.896,0.099,0.099
172,0.010,255,255,255,97.967,45.242,0.280,97.918,45.193,0.099,0.099
173,0.010,255,255,255,97.967,45.540,0.280,97.918,45.490,0.099,0.099
174,0.010,255,255,255,47.720,45.837,0.280,47.671,45.788,0.099,0.099
175,0.049,255,255,255,98.027,46.134,1.155,97.918,45.887,0.198,0.496
176,0.029,255,255,255,98.067,46.729,0.677,98.017,46.580,0.099,0.297
177,0.020,255,255,255,1.734,46.779,0.479,1.685,46.679,0.099,0.198
178,0.020,255,255,255,1.635,47.671,0.479,1.586,47.571,0.099,0.198
179,0.039,255,255,255,97.249,48.017,0.759,97.125,47.869,0.198,0.297
180,340.242,255,255,255,57.086,84.671,394.809,2.676,47.869,97.422,53.716
181,0.029,255,255,255,3.155,50.759,0.561,3.072,50.644,0.198,0.198
182,0.363,255,255,255,3.098,51.864,4.457,2.973,50.941,0.297,1.982
183,0.020,255,255,255,1.437,51.635,0.479,1.388,51.536,0.099,0.198
184,0.010,255,255,255,1.437,52.081,0.280,1.388,52.031,0.099,0.099
185,0.334,255,255,255,103.861,55.121,4.723,103.765,54.013,0.198,2.279
186,1.503,255,255,255,1.704,56.374,7.841,1.388,54.707,0.694,3.469
187,0.845,255,255,255,99.977,56.043,5.858,99.702,54.806,0.496,2.379
188,0.020,255,255,255,38.107,55.104,0.479,38.057,55.004,0.099,0.198
189,0.020,255,255,255,103.716,56.590,0.479,103.666,56.491,0.099,0.198
190,0.029,255,255,255,103.716,56.937,0.677,103.666,56.788,0.099,0.297
191,0.049,255,255,255,103.319,57.135,1.073,103.270,56.888,0.099,0.496
192,0.020,255,255,255,103.716,57.284,0.479,103.666,57.185,0.099,0.198
193,0.010,255,255,255,52.180,57.333,0.280,52.130,57.284,0.099,0.099
194,0.098,255,255,255,97.075,57.998,1.832,96.927,57.581,0.297,0.793
195,0.059,255,255,255,103.220,58.077,1.271,103.171,57.779,0.099,0.595
196,0.010,255,255,255,103.617,57.829,0.280,103.567,57.779,0.099,0.099
197,52.352,255,255,255,80.120,88.285,223.828,35.679,57.978,67.988,46.085
198,0.029,255,255,255,1.833,58.523,0.619,1.685,58.473,0.297,0.099
199,0.138,255,255,255,96.884,59.429,2.427,96.729,58.969,0.297,1.090
200,0.020,255,255,255,59.068,59.811,0.420,58.969,59.762,0.198,0.099
201,0.020,255,255,255,2.032,60.554,0.479,1.982,60.455,0.099,0.198
202,0.020,255,255,255,11.794,60.604,0.420,11.695,60.554,0.198,0.099
203,0.010,255,255,255,2.428,60.802,0.280,2.379,60.753,0.099,0.099
204,0.020,255,255,255,2.180,61.100,0.420,2.081,61.050,0.198,0.099
205,0.020,255,255,255,2.527,61.149,0.479,2.478,61.050,0.099,0.198
206,0.010,255,255,255,96.580,61.298,0.280,96.530,61.248,0.099,0.099
207,0.010,255,255,255,2.527,61.496,0.280,2.478,61.446,0.099,0.099
208,0.029,255,255,255,96.117,61.727,0.561,96.035,61.645,0.198,0.198
209,0.088,255,255,255,2.417,62.003,1.436,2.180,61.843,0.595,0.297
210,0.020,255,255,255,2.725,62.239,0.479,2.676,62.140,0.099,0.198
211,0.029,255,255,255,2.461,62.454,0.561,2.379,62.338,0.198,0.198
212,33.278,255,255,255,25.057,90.825,176.082,2.676,62.438,51.139,40.039
213,0.010,255,255,255,2.527,62.784,0.280,2.478,62.735,0.099,0.099
214,0.020,255,255,255,2.626,63.528,0.479,2.577,63.429,0.099,0.198
215,0.010,255,255,255,4.410,65.064,0.280,4.361,65.014,0.099,0.099
216,0.010,255,255,255,3.122,65.460,0.280,3.072,65.411,0.099,0.099
217,0.010,255,255,255,8.672,65.956,0.280,8.622,65.906,0.099,0.099
218,0.039,255,255,255,98.240,66.377,0.759,98.116,66.204,0.198,0.297
219,0.010,255,255,255,4.906,66.749,0.280,4.856,66.699,0.099,0.099
220,0.020,255,255,255,98.067,66.897,0.479,98.017,66.798,0.099,0.198
221,0.049,255,255,255,97.789,67.839,1.155,97.720,67.591,0.198,0.496
222,0.020,255,255,255,9.713,68.334,0.420,9.613,68.285,0.198,0.099
223,0.010,255,255,255,9.564,68.533,0.280,9.514,68.483,0.099,0.099
224,0.088,255,255,255,76.318,69.292,1.353,76.213,68.979,0.198,0.595
225,0.010,255,255,255,93.210,69.127,0.280,93.161,69.078,0.099,0.099
226,0.108,255,255,255,10.068,69.866,1.237,9.911,69.672,0.297,0.396
227,0.128,255,255,255,10.204,70.431,1.378,10.010,70.168,0.396,0.496
228,0.020,255,255,255,10.307,70.911,0.420,10.208,70.862,0.198,0.099
229,0.020,255,255,255,69.276,70.911,0.420,69.177,70.862,0.198,0.099
230,0.010,255,255,255,10.456,71.308,0.280,10.406,71.258,0.099,0.099
231,0.010,255,255,255,5.302,71.605,0.280,5.253,71.555,0.099,0.099
232,0.010,255,255,255,97.670,71.704,0.280,97.621,71.654,0.099,0.099
233,0.010,255,255,255,5.500,72.100,0.280,5.451,72.051,0.099,0.099
234,0.010,255,255,255,12.240,72.200,0.280,12.190,72.150,0.099,0.099
235,0.010,255,255,255,94.994,72.992,0.280,94.945,72.943,0.099,0.099
236,1.238,255,255,255,93.100,76.712,14.404,91.278,73.934,3.271,5.847
237,0.010,255,255,255,7.383,74.083,0.280,7.334,74.033,0.099,0.099
238,0.010,255,255,255,6.492,74.281,0.280,6.442,74.231,0.099,0.099
239,0.069,255,255,255,7.681,74.762,1.319,7.532,74.529,0.297,0.496
240,0.020,255,255,255,7.929,75.222,0.561,7.829,75.123,0.198,0.198
241,0.029,255,255,255,44.086,77.783,0.561,44.004,77.700,0.198,0.198
242,0.010,255,255,255,90.435,80.128,0.280,90.386,80.079,0.099,0.099
243,0.010,255,255,255,90.237,80.425,0.280,90.188,80.376,0.099,0.099
244,0.147,255,255,255,90.653,80.822,2.557,90.287,80.376,0.694,0.991
245,0.029,255,255,255,90.039,81.714,0.841,89.890,81.565,0.297,0.297
246,0.020,255,255,255,55.450,82.953,0.479,55.401,82.854,0.099,0.198
247,0.010,255,255,255,88.552,83.696,0.280,88.503,83.646,0.099,0.099
248,0.079,255,255,255,87.871,84.538,1.518,87.710,84.241,0.396,0.595
249,0.020,255,255,255,91.228,84.439,0.479,91.179,84.340,0.099,0.198
250,0.010,255,255,255,90.237,84.885,0.280,90.188,84.836,0.099,0.099
251,0.010,255,255,255,87.363,85.083,0.280,87.313,85.034,0.099,0.099
252,0.010,255,255,255,86.768,85.777,0.280,86.719,85.728,0.099,0.099
253,0.167,255,255,255,84.734,86.751,2.803,84.241,86.223,0.991,0.991
254,0.029,255,255,255,85.546,87.165,0.759,85.430,87.016,0.198,0.297
255,0.039,255,255,255,84.068,87.462,0.841,83.944,87.313,0.297,0.297
256,0.020,255,255,255,83.795,87.710,0.479,83.746,87.611,0.099,0.198
257,0.020,255,255,255,83.547,88.007,0.561,83.448,87.908,0.198,0.198
258,0.010,255,255,255,81.417,88.156,0.280,81.367,88.106,0.099,0.099
259,0.020,255,255,255,16.055,88.255,0.420,15.956,88.205,0.198,0.099
260,0.029,255,255,255,82.903,88.552,0.841,82.754,88.404,0.297,0.297
261,0.010,255,255,255,16.402,88.651,0.280,16.353,88.602,0.099,0.099
262,0.010,255,255,255,82.606,88.850,0.280,82.556,88.800,0.099,0.099
263,0.088,255,255,255,82.143,89.345,2.020,81.763,88.998,0.694,0.694
264,0.010,255,255,255,81.615,89.742,0.280,81.565,89.692,0.099,0.099
265,0.020,255,255,255,81.367,89.989,0.561,81.268,89.890,0.198,0.198
266,0.010,255,255,255,81.119,90.237,0.280,81.070,90.188,0.099,0.099
267,0.079,255,255,255,18.397,90.609,1.822,18.038,90.287,0.694,0.595
268,0.020,255,255,255,80.772,90.485,0.561,80.673,90.386,0.198,0.198
269,0.010,255,255,255,80.227,90.931,0.280,80.178,90.881,0.099,0.099
270,0.010,255,255,255,79.633,91.426,0.280,79.583,91.377,0.099,0.099
271,0.010,255,255,255,79.236,91.724,0.280,79.187,91.674,0.099,0.099
272,0.010,255,255,255,21.952,93.309,0.280,21.903,93.260,0.099,0.099
273,0.010,255,255,255,23.142,94.201,0.280,23.092,94.152,0.099,0.099
274,0.020,255,255,255,25.272,94.598,0.420,25.173,94.548,0.198,0.099
275,0.010,255,255,255,75.173,94.598,0.280,75.123,94.548,0.099,0.099
276,0.010,255,255,255,63.974,94.697,0.280,63.924,94.647,0.099,0.099
277,0.010,255,255,255,72.100,94.895,0.280,72.051,94.846,0.099,0.099
278,0.010,255,255,255,74.578,94.994,0.280,74.529,94.945,0.099,0.099
279,0.020,255,255,255,61.446,95.391,0.420,61.347,95.341,0.198,0.099
280,0.010,255,255,255,55.946,96.580,0.280,55.896,96.530,0.099,0.099
281,0.010,255,255,255,50.693,96.679,0.280,50.644,96.629,0.099,0.099
282,0.010,255,255,255,50.792,96.976,0.280,50.743,96.927,0.099,0.099
283,0.020,255,255,255,75.123,97.175,0.420,75.024,97.125,0.198,0.099
284,0.020,255,255,255,74.826,97.323,0.561,74.727,97.224,0.198,0.198
285,0.010,255,255,255,29.286,97.769,0.280,29.237,97.720,0.099,0.099
286,0.079,255,255,255,29.534,98.067,1.378,29.336,97.819,0.396,0.396
287,0.157,255,255,255,70.019,98.221,2.615,69.474,97.918,1.090,0.595
288,0.010,255,255,255,73.686,97.967,0.280,73.637,97.918,0.099,0.099
289,0.010,255,255,255,29.881,98.067,0.280,29.831,98.017,0.099,0.099
290,0.010,255,255,255,73.488,98.067,0.280,73.438,98.017,0.099,0.099
291,0.010,255,255,255,73.092,98.265,0.280,73.042,98.215,0.099,0.099
292,0.010,255,255,255,72.794,98.364,0.280,72.745,98.314,0.099,0.099
293,0.029,255,255,255,30.310,98.529,0.561,30.228,98.413,0.198,0.198
294,0.020,255,255,255,30.624,98.463,0.420,30.525,98.413,0.198,0.099
295,0.010,255,255,255,57.135,98.661,0.280,57.086,98.612,0.099,0.099
296,0.029,255,255,255,68.929,98.694,0.701,68.780,98.612,0.297,0.198
297,0.020,255,255,255,72.249,98.661,0.420,72.150,98.612,0.198,0.099
298,0.029,255,255,255,31.169,98.892,0.701,31.021,98.810,0.297,0.198
299,0.010,255,255,255,68.632,98.859,0.280,68.582,98.810,0.099,0.099
300,0.815,255,255,255,33.391,99.859,8.391,31.516,99.008,3.568,1.586
301,0.010,255,255,255,71.208,99.157,0.280,71.159,99.107,0.099,0.099
302,0.029,255,255,255,70.713,99.322,0.701,70.564,99.206,0.297,0.198
303,0.010,255,255,255,0.545,99.355,0.280,0.496,99.305,0.099,0.099
304,0.010,255,255,255,67.442,99.355,0.280,67.393,99.305,0.099,0.099
305,0.010,255,255,255,67.046,99.454,0.280,66.996,99.404,0.099,0.099
306,0.010,255,255,255,70.416,99.454,0.280,70.366,99.404,0.099,0.099
307,0.029,255,255,255,31.103,99.619,0.561,31.021,99.504,0.198,0.198
308,0.059,255,255,255,69.920,99.702,1.097,69.672,99.603,0.496,0.198
309,0.020,255,255,255,69.524,99.801,0.479,69.474,99.702,0.099,0.198
310,0.010,255,255,255,69.226,99.950,0.280,69.177,99.900,0.099,0.099
311,0.010,255,255,255,68.731,100.148,0.280,68.681,100.098,0.099,0.099
312,0.010,255,255,255,57.631,100.247,0.280,57.581,100.197,0.099,0.099
313,0.108,255,255,255,67.623,100.526,1.658,67.294,100.296,0.694,0.396
314,0.010,255,255,255,71.109,100.346,0.280,71.060,100.296,0.099,0.099
315,0.049,255,255,255,35.391,100.544,0.899,35.282,100.396,0.297,0.297
316,0.020,255,255,255,70.862,100.445,0.420,70.763,100.396,0.198,0.099
317,0.039,255,255,255,70.465,100.594,0.899,70.267,100.495,0.396,0.198
318,0.010,255,255,255,63.082,100.742,0.280,63.032,100.693,0.099,0.099
319,0.010,255,255,255,66.749,100.742,0.280,66.699,100.693,0.099,0.099
320,0.010,255,255,255,70.118,100.742,0.280,70.069,100.693,0.099,0.099
321,0.717,255,255,255,60.627,101.367,10.011,58.473,100.792,4.460,1.090
322,0.010,255,255,255,69.821,100.842,0.280,69.771,100.792,0.099,0.099
323,0.010,255,255,255,37.413,100.941,0.280,37.363,100.891,0.099,0.099
324,0.098,255,255,255,69.048,101.109,1.716,68.681,100.891,0.694,0.396
325,0.029,255,255,255,75.503,101.073,0.561,75.421,100.990,0.198,0.198
326,0.010,255,255,255,38.008,101.139,0.280,37.958,101.089,0.099,0.099
327,0.010,255,255,255,58.523,101.139,0.280,58.473,101.089,0.099,0.099
328,0.010,255,255,255,66.055,101.139,0.280,66.005,101.089,0.099,0.099
329,0.010,255,255,255,66.253,101.139,0.280,66.204,101.089,0.099,0.099
330,0.010,255,255,255,38.206,101.238,0.280,38.156,101.188,0.099,0.099
331,1.159,255,255,255,62.068,102.215,17.079,58.077,101.188,7.829,1.784
332,0.010,255,255,255,38.602,101.337,0.280,38.553,101.288,0.099,0.099
333,0.020,255,255,255,38.850,101.436,0.420,38.751,101.387,0.198,0.099
334,0.020,255,255,255,39.246,101.535,0.420,39.147,101.486,0.198,0.099
335,0.010,255,255,255,38.800,101.634,0.280,38.751,101.585,0.099,0.099
336,0.029,255,255,255,39.593,101.634,0.619,39.445,101.585,0.297,0.099
337,0.059,255,255,255,40.138,101.783,1.295,39.841,101.684,0.595,0.198
338,0.010,255,255,255,56.937,101.734,0.280,56.888,101.684,0.099,0.099
339,0.020,255,255,255,40.733,101.932,0.420,40.634,101.882,0.198,0.099
340,0.010,255,255,255,54.658,101.932,0.280,54.608,101.882,0.099,0.099
341,0.079,255,255,255,41.328,102.080,1.692,40.931,101.981,0.793,0.198
342,0.187,255,255,255,42.718,102.375,3.838,41.823,102.179,1.784,0.396
343,0.010,255,255,255,65.658,102.229,0.280,65.609,102.179,0.099,0.099
344,0.010,255,255,255,53.072,102.328,0.280,53.022,102.279,0.099,0.099
345,0.118,255,255,255,44.169,102.659,2.228,43.706,102.477,0.991,0.297
346,0.334,255,255,255,46.181,102.923,5.622,44.796,102.675,2.676,0.396
347,0.010,255,255,255,63.379,102.824,0.280,63.329,102.774,0.099,0.099
348,0.010,255,255,255,62.983,102.923,0.280,62.933,102.873,0.099,0.099
